Card Number,NAME,SSN,Customer Address,Transaction Method,Card Entry Method,Merchant,Transaction Date,Amount Completed,Balance available,Settlement Date,Terminal Location,Institution Name,Acquiring Institution Name,IsFraud
9100100604,Jane Adams (actress),100000605,140 COMMONWEALTH AVE #C35,Payment - Reversal,MANUAL ENTRY,Shell,6-Nov,5,600,8-Nov,22370,JPMorgan Chase,SunTrust Bank,0
9100100846,Joey Lauren Adams,100000847,2277 LONDON WAY,Payment - Deny,SWIPED MACHINE READ,Flowers.com,8-Nov,7,840,9-Nov,91801,Bank of America,Charles Schwab,1
9100140534,Julie Adams,100040535,1725 HOWARD AVE UNIT B,Deposits,Unknown or terminal not used,Walmart,10-Nov,335,40200,11-Nov,32701,Wells Fargo,American Express,0
9100140655,Lillian Adams,100040656,1801 W 2ND ST TRLR 6,Deposit - Reversals,Manual key entry,,12-Nov,336,40320,15-Nov,59311,Citigroup,Ally Financial,0
9100138356,Marla Adams,100038357,136 JUNIPER TRL,Deposits - Denials,Mag stripe read ? CVV checking not possible,BJS,14-Nov,317,38040,15-Nov,59311,Goldman Sachs,RBC Bank,1
9100140534,Mary Kay Adams,100040535,PO BOX 1417,Mag Stripe Contact,Barcode read,Shell,16-Nov,335,40200,18-Nov,79101,Morgan Stanley,JPMorgan Chase,0
9100100604,Neile Adams,100000605,PO BOX 774261,Mag Stripe Contactless,Unknown,BP,7-Nov,5,600,8-Nov,79101,U.S. Bancorp,Bank of America,0
9100100846,Poni Adams,100000847,PO BOX 5655,EMV Contact,MANUAL ENTRY,Target,9-Nov,7,840,10-Nov,79109,Bank of New York Mellon,Wells Fargo,0
9100100604,Stella Adams,100000605,320 BIG PINON DR,EMV Contactless,SWIPED MACHINE READ,BJS,11-Nov,5,600,14-Nov,92801,PNC Bank,Citigroup,1
4003170000000000,Yolanda Adams,100000847,PO BOX 334,Denied - Bad Pin,MANUAL ENTRY,MBTA,2-Nov,7,840,3-Nov,92805,Capital One,Goldman Sachs,0
4003170000000000,Calpernia Addams,100040535,16030 6250 RD,EMV,SWIPED MACHINE READ,Amazon.com,4-Nov,335,40200,6-Nov,99503,HSBC,Morgan Stanley,0
4003170000000000,Nancy Addison,100040656,628 HUNTER CREEK DR,BIN 435101,Unknown or terminal not used,Uber,6-Nov,336,40320,7-Nov,67002,TD Bank,U.S. Bancorp,0
4003170000000000,Alexandra Adi,100038357,441 N 8TH ST,BIN 435525,Manual key entry,Draftkings,8-Nov,317,38040,9-Nov,21401,State Street,Citizens Bank,0
4003170000000000,Celia Adler,100000605,3148 SKYLARK CT,BIN 454087,Mag stripe read ? CVV checking not possible,Nightlife,5-Nov,5,600,8-Nov,20701,BB&T,USAA,1
4003170000000000,Joanna P. Adler,100000847,602 SLOAN ST,BIN 564217,Barcode read,Target,7-Nov,7,840,8-Nov,36201,SunTrust Bank,Fifth Third Bank,0
9100140534,Sara Adler,100040535,PO BOX 505,BIN 577822,Unknown,BJS,9-Nov,335,40200,11-Nov,36201,Charles Schwab,BMO Harris Bank,1
9100140655,Stella Adler,100040656,606 25 1/2 RD UNIT 5,BIN 440110,MANUAL ENTRY,Shell,1-Nov,336,40320,2-Nov,54913,American Express,Santander Bank,0
9100138356,Pamela Adlon,100038357,2325 INTERSTATE AVE,BIN 467602,SWIPED MACHINE READ,Flowers.com,3-Nov,317,38040,4-Nov,27263,Ally Financial,Regions Bank,1
9100100604,Iris Adrian,100000605,36906 GRANDVIEW MESA RD,BIN 449117,MANUAL ENTRY,Walmart,11-Nov,5,600,14-Nov,99722,RBC Bank,M&T Bank,0
9100100846,Uzo Aduba,100000847,1800 MAIN ST APT C4,BIN 453539,SWIPED MACHINE READ,Target,13-Nov,7,840,14-Nov,76010,Citizens Bank,Northern Trust,0
9100140534,Aarthi Agarwal,100040535,1972 W 3RD AVE UNIT A,BIN 601092,Unknown or terminal not used,BJS,15-Nov,335,40200,17-Nov,76011,USAA,Union Bank,1
9100138356,Shohreh Aghdashloo,100038357,PO BOX 1346,BIN 557283,Manual key entry,Shell,2-Nov,317,38040,3-Nov,20301,Fifth Third Bank,KeyCorp,0
9100100604,Dianna Agron,100000605,PO BOX 124,BIN 510365,Mag stripe read ? CVV checking not possible,BP,4-Nov,5,600,5-Nov,22201,BMO Harris Bank,MSN Banknorth,0
9100100846,Christina Aguilera,100000847,645 FOX CT,BIN 51036501,Barcode read,Target,6-Nov,7,840,9-Nov,20301,Santander Bank,Bank of New York Mellon,0
9100140534,Lassie Lou Ahern,100040535,PO BOX 2416,BIN 505902,Unknown,BJS,8-Nov,335,40200,9-Nov,22201,Regions Bank,PNC Bank,1
9100138356,Peggy Ahern,100038357,PO BOX 1822,BIN 487340,MANUAL ENTRY,MBTA,10-Nov,317,38040,12-Nov,5250,M&T Bank,Capital One,0
9100100604,Rita Rani Ahuja,100000605,263 MESA ENCANTADA,BIN 403146,SWIPED MACHINE READ,Amazon.com,12-Nov,5,600,13-Nov,5250,Northern Trust,HSBC,0
9100100846,Mary Ainslee,100000847,PO BOX 827,BIN 413036,MANUAL ENTRY,Uber,14-Nov,7,840,15-Nov,,Union Bank,TD Bank,0
9100140534,Helen Ainsworth,100040535,PO BOX 196,BIN 514378,SWIPED MACHINE READ,Draftkings,16-Nov,335,40200,19-Nov,,KeyCorp,State Street,0
9100138356,Lexi Ainsworth,100038357,615 CHEYENNE AVE,BIN 51437809,Unknown or terminal not used,Nightlife,7-Nov,317,38040,8-Nov,,MSN Banknorth,BB&T,0
9100140655,Soumaya Akaaboune,100040656,2940 N VIEW DR,BIN 533280,Manual key entry,Target,9-Nov,336,40320,11-Nov,,JPMorgan Chase,SunTrust Bank,0
9100100604,Karen Akers,100000605,2537 BRENNA WAY,BIN 558221,Mag stripe read ? CVV checking not possible,BJS,11-Nov,5,600,12-Nov,,Bank of America,Charles Schwab,1
9100100846,Desiree Akhavan,100000847,617 E 11TH ST,BIN 586509,Barcode read,Shell,2-Nov,7,840,3-Nov,,Wells Fargo,American Express,0
9100140534,Shuko Akune,100040535,27653 HIGHWAY 6 TRLR 1803,BIN 58650900,Unknown,Flowers.com,4-Nov,335,40200,7-Nov,,Citigroup,Ally Financial,1
9100138356,Mackenzie Aladjem,100038357,PO BOX 5067,BIN 586509001,MANUAL ENTRY,Walmart,6-Nov,317,38040,7-Nov,,Goldman Sachs,RBC Bank,0
9100140655,Lori Alan,100040656,PO BOX 485,BIN 58686200,SWIPED MACHINE READ,Target,8-Nov,336,40320,10-Nov,,Morgan Stanley,JPMorgan Chase,0
9100100604,Morjana Alaoui,100000605,PO BOX 135,BIN 58686201,MANUAL ENTRY,BJS,5-Nov,5,600,6-Nov,,U.S. Bancorp,Bank of America,1
9100100846,Jessica Alba,100000847,56 N PAINTED HORSE CIR,BIN 418574,SWIPED MACHINE READ,Shell,7-Nov,7,840,8-Nov,,Bank of New York Mellon,Wells Fargo,0
9100140534,Maria Alba,100040535,328 E 1ST ST,BIN 42247000,Unknown or terminal not used,BP,9-Nov,335,40200,12-Nov,,PNC Bank,Citigroup,0
9100138356,Mabel Albertson,100038357,PO BOX 1714,BIN 4224700003,Manual key entry,Target,1-Nov,317,38040,2-Nov,,Capital One,Goldman Sachs,0
9100140655,Tessa Albertson,100040656,2643 CHESTNUT DR,BIN 42247001,Mag stripe read ? CVV checking not possible,BJS,3-Nov,336,40320,5-Nov,,HSBC,Morgan Stanley,1
9100140534,Lola Albright,100040535,PO BOX 771343,BIN 4224700103,Barcode read,MBTA,11-Nov,335,40200,12-Nov,,TD Bank,U.S. Bancorp,0
9100100604,Beatrice Alda,100000605,2141 DEVON ST,BIN 413951,Unknown,Amazon.com,13-Nov,5,600,14-Nov,,State Street,Citizens Bank,0
9100100846,Elizabeth Alda,100000847,285 HOLLY LN,BIN 412676,MANUAL ENTRY,Uber,15-Nov,7,840,18-Nov,,BB&T,USAA,1
9100138356,Rutanya Alda,100038357,1120 E 3RD AVE,BIN 486745,SWIPED MACHINE READ,Draftkings,2-Nov,317,38040,3-Nov,,SunTrust Bank,Fifth Third Bank,0
9100140534,Mary Alden,100040535,712 BURNING MOUNTAIN AVE,BIN 588011,MANUAL ENTRY,Nightlife,4-Nov,335,40200,6-Nov,,Charles Schwab,BMO Harris Bank,0
9100100604,Mari Aldon,100000605,43 SPRUCE CT,BIN 551091,SWIPED MACHINE READ,Target,6-Nov,5,600,7-Nov,,American Express,Santander Bank,0
9100100846,Kay Aldridge,100000847,2129 MONARCH PT,BIN 564348,Unknown or terminal not used,BJS,8-Nov,7,840,9-Nov,,Ally Financial,Regions Bank,1
9100138356,Raquel Alessi,100038357,PO BOX 6437,BIN 564360,Manual key entry,Shell,10-Nov,317,38040,13-Nov,,RBC Bank,M&T Bank,0
9100140534,Alex ter Avest,100040535,PO BOX 1898,BIN 588134,Mag stripe read ? CVV checking not possible,Flowers.com,12-Nov,335,40200,13-Nov,,Citizens Bank,Northern Trust,1
9100100604,Denise Alexander,100000605,3524 COUNTY ROAD 103,BIN 485282,Barcode read,Walmart,14-Nov,5,600,16-Nov,,USAA,Union Bank,0
9100100846,Jaimie Alexander,100000847,4380 COUNTY ROAD 331,BIN 483913,Unknown,Target,16-Nov,7,840,17-Nov,,Fifth Third Bank,KeyCorp,0
9100138356,Jane Alexander,100038357,26451 TX HWY 77W,BIN 491496,MANUAL ENTRY,BJS,7-Nov,317,38040,8-Nov,,BMO Harris Bank,MSN Banknorth,1
9100140534,Katharine Alexander,100040535,PO BOX 3756,BIN 503819,SWIPED MACHINE READ,Shell,9-Nov,335,40200,12-Nov,,Santander Bank,Bank of New York Mellon,0
9100100604,Khandi Alexander,100000605,201 14TH ST UNIT 320,BIN 021303618,MANUAL ENTRY,BP,11-Nov,5,600,12-Nov,,Regions Bank,PNC Bank,0
9100100846,Olivia Alexander,100000847,PO BOX 3359,BIN 422710,SWIPED MACHINE READ,Target,2-Nov,7,840,4-Nov,,M&T Bank,Capital One,0
9100138356,Sasha Alexander,100038357,343 ELM AVE,BIN 418524,Unknown or terminal not used,BJS,4-Nov,317,600,5-Nov,,Northern Trust,HSBC,1
9100140534,Gloria Alexandra,100040535,530 MAIN AVE,BIN 422330,Manual key entry,MBTA,6-Nov,335,840,7-Nov,,Union Bank,TD Bank,0
9100100604,Tiana Alexandra,100000605,336 PARK AVE,BIN 422452,Mag stripe read ? CVV checking not possible,Amazon.com,8-Nov,5,40200,11-Nov,,KeyCorp,State Street,0
9100100846,Sadie Alexandru,100000847,PO BOX 3942,BIN 449106,Barcode read,Uber,5-Nov,7,40320,6-Nov,,MSN Banknorth,BB&T,0
9100138356,Marnie Alexenburg,100038357,104 LAKESIDE CT,BIN 447437,Unknown,Draftkings,7-Nov,317,38040,9-Nov,,JPMorgan Chase,SunTrust Bank,0
9100140534,Kristian Alfonso,100040535,PO BOX 6958,BIN 44743702,MANUAL ENTRY,Nightlife,9-Nov,335,600,10-Nov,,Bank of America,Charles Schwab,0
9100100604,Brittney Alger,100000605,2505 GLEN VIEW DR,BIN 435863,SWIPED MACHINE READ,Target,1-Nov,5,840,2-Nov,,Wells Fargo,American Express,0
9100100846,Khalilah Ali,100000847,1170 COUNTY ROAD 8B,BIN 435864,MANUAL ENTRY,BJS,3-Nov,7,40200,6-Nov,,Citigroup,Ally Financial,1
9100138356,Tatyana Ali,100038357,689 PONDEROSA DR,BIN 460672,SWIPED MACHINE READ,Shell,11-Nov,317,40320,12-Nov,,Goldman Sachs,RBC Bank,0
9100109074,Veronica Porché Ali,100009075,21346 LANNING RD,BIN 539780,Unknown or terminal not used,Flowers.com,13-Nov,75,38040,15-Nov,,Morgan Stanley,JPMorgan Chase,1
9100126135,Mary Alice,100026136,1329 PITKIN AVE APT 14,BIN 449710,Manual key entry,Walmart,15-Nov,216,600,16-Nov,,U.S. Bancorp,Bank of America,0
9100109074,Ana Alicia,100009075,5033 COUNTY ROAD 335 #259,BIN 577485,Mag stripe read ? CVV checking not possible,Target,2-Nov,75,840,3-Nov,,Bank of New York Mellon,Wells Fargo,0
9100109074,Bianca Allaine,100009075,624 LARIAT LOOP,BIN 577756,Barcode read,BJS,4-Nov,75,40200,7-Nov,,PNC Bank,Citigroup,1
9100100604,Ava Allan,100000605,49 BOBCAT LN,BIN 484125,Unknown,Shell,6-Nov,5,40320,7-Nov,,Capital One,Goldman Sachs,0
9100100846,Maud Allan,100000847,PO BOX 45,BIN 477410,MANUAL ENTRY,BP,8-Nov,7,38040,10-Nov,,HSBC,Morgan Stanley,0
9100140534,Louise Allbritton,100040535,549 PRIMAVERA ST,BIN 447866,SWIPED MACHINE READ,Target,10-Nov,335,600,11-Nov,,TD Bank,U.S. Bancorp,0
9100100604,Gia Allemand,100000605,1719 JUNIPER ST,BIN 412227,MANUAL ENTRY,BJS,12-Nov,5,840,13-Nov,,State Street,Citizens Bank,1
9100100846,Aleisha Allen,100000847,252 WREN CT,BIN 412229,SWIPED MACHINE READ,MBTA,14-Nov,7,40200,17-Nov,,BB&T,USAA,1
9100138356,Amy Allen,100038357,2600 S OAK HURST CT APT 20,BIN 588012,Unknown or terminal not used,Amazon.com,16-Nov,317,40320,17-Nov,,SunTrust Bank,Fifth Third Bank,0
9100100604,Barbara Jo Allen,100000605,PO BOX 215,BIN 567174,Manual key entry,Uber,7-Nov,5,38040,9-Nov,,Charles Schwab,BMO Harris Bank,0
9100100846,Billie Allen,100000847,249 BLUE SPRUCE DR,BIN 587542,Mag stripe read ? CVV checking not possible,Draftkings,9-Nov,7,600,10-Nov,,American Express,Santander Bank,0
9100140534,Christa B. Allen,100040535,21848 MYERS RD,BIN 58754299,Barcode read,Nightlife,11-Nov,335,840,12-Nov,,Ally Financial,Regions Bank,0
9100100604,Crystal Allen,100000605,20541 TULIP CIR,BIN 402491,Unknown,Target,2-Nov,5,40200,5-Nov,,RBC Bank,M&T Bank,0
9100100846,Debbie Allen,100000847,305 SOCIETY DR APT C5,BIN 443590,MANUAL ENTRY,BJS,4-Nov,7,40320,5-Nov,,Citizens Bank,Northern Trust,1
9100138356,Dorothy Allen,100038357,PO BOX 271696,BIN 464341,SWIPED MACHINE READ,Shell,6-Nov,317,38040,8-Nov,,USAA,Union Bank,0
9100100604,Elizabeth Allen (actress),100000605,PO BOX 6399,BIN 504375,MANUAL ENTRY,Flowers.com,8-Nov,5,600,9-Nov,,Fifth Third Bank,KeyCorp,1
9100100846,Gracie Allen,100000847,4570 I-70 FRONTAGE RD,BIN 578268,SWIPED MACHINE READ,Walmart,5-Nov,7,840,6-Nov,,BMO Harris Bank,MSN Banknorth,0
9100140534,India Allen,100040535,3279 GROVE ST APT 18,BIN 575742,Unknown or terminal not used,Target,7-Nov,335,40200,10-Nov,,Santander Bank,Bank of New York Mellon,0
9100100604,Jo Harvey Allen,100000605,560 RIVER VIEW DR UNIT 707,BIN 467644,Manual key entry,BJS,9-Nov,5,40320,10-Nov,,Regions Bank,PNC Bank,1
9100100846,Joan Allen,100000847,PO BOX 237,BIN 486995,Mag stripe read ? CVV checking not possible,Shell,1-Nov,7,38040,3-Nov,,M&T Bank,Capital One,0
9100138356,Jonelle Allen,100038357,PO BOX 3474,BIN 486999,Barcode read,BP,3-Nov,317,600,4-Nov,,Northern Trust,HSBC,0
9100109074,Judith Allen,100009075,897 VITOS WAY,BIN 511267,Unknown,Target,11-Nov,75,840,12-Nov,,Union Bank,TD Bank,0
9100109074,Karen Allen,100009075,737 35 6/10 RD,BIN 511249,MANUAL ENTRY,BJS,13-Nov,75,40200,16-Nov,,KeyCorp,State Street,1
9100140534,Krista Allen,100040535,1248 SUNSET DR,BIN 523867,SWIPED MACHINE READ,MBTA,15-Nov,335,40320,16-Nov,,MSN Banknorth,BB&T,0
9100100604,Laura Allen,100000605,1431 MANCHESTER DR,BIN 558249,MANUAL ENTRY,Amazon.com,2-Nov,5,38040,4-Nov,,JPMorgan Chase,SunTrust Bank,0
9100100846,Maude Allen,100000847,159 LITTLE ELK CREEK AVE,BIN 551373,SWIPED MACHINE READ,Uber,4-Nov,7,40200,5-Nov,,Bank of America,Charles Schwab,0
9100138356,Nancy Allen (actress),100038357,BETTINA BRUSCH-STRECHER,BIN 551826,Unknown or terminal not used,Draftkings,6-Nov,317,600,7-Nov,,Wells Fargo,American Express,0
9100134242,Phyllis Allen,100034243,PO BOX 4091,BIN 454591,Manual key entry,Nightlife,8-Nov,283,840,11-Nov,,Citigroup,Ally Financial,0
9100140534,Rae Allen,100040535,231 HARRIS ST,BIN 430573,Mag stripe read ? CVV checking not possible,Target,10-Nov,335,600,11-Nov,,Goldman Sachs,RBC Bank,0
9100100604,Sandy Allen,100000605,1293 BEDROCK CIR,BIN 43057301,Barcode read,BJS,12-Nov,5,840,14-Nov,,Morgan Stanley,JPMorgan Chase,1
9100100846,Sasha Allen,100000847,PO BOX 291,BIN 43057304,Unknown,Shell,14-Nov,7,40200,15-Nov,,U.S. Bancorp,Bank of America,0
9100138356,Sheila Matthews Allen,100038357,PO BOX 5675,BIN 585167,MANUAL ENTRY,Flowers.com,16-Nov,317,40320,17-Nov,,Bank of New York Mellon,Wells Fargo,1
9100140534,Sian Barbara Allen,100040535,3722 LONE TREE LN,BIN 579259,SWIPED MACHINE READ,Walmart,7-Nov,335,38040,10-Nov,,PNC Bank,Citigroup,0
9100100604,Tessa Allen,100000605,1464 CONESTOGA CIR,BIN 460362,MANUAL ENTRY,Target,9-Nov,5,600,10-Nov,,Capital One,Goldman Sachs,0
9100100846,Kirstie Alley,100000847,3126 GRAND AVE,BIN 440155,SWIPED MACHINE READ,BJS,11-Nov,7,840,13-Nov,,HSBC,Morgan Stanley,1
9100138356,Sara Allgood,100038357,127 CRAWFORD LN APT 3,BIN 44015505,Unknown or terminal not used,Shell,2-Nov,317,40200,3-Nov,,TD Bank,U.S. Bancorp,0
9100140534,Monica Allison,100040535,PO BOX 8198,BIN 5159999,Manual key entry,BP,4-Nov,335,40320,5-Nov,,State Street,Citizens Bank,0
9100100604,Elvia Allman,100000605,322 LIGHT HILL RD,BIN 517408,Mag stripe read ? CVV checking not possible,Target,6-Nov,5,38040,9-Nov,,BB&T,USAA,1
9100100846,Jamie Anne Allman,100000847,1338 19 RD,BIN 502693,Barcode read,BJS,8-Nov,7,600,9-Nov,,SunTrust Bank,Fifth Third Bank,1
9100138356,Astrid Allwyn,100038357,138 CIMARRON DR,BIN 551796,Unknown,MBTA,5-Nov,317,840,7-Nov,,Charles Schwab,BMO Harris Bank,0
9100140655,June Allyson,100040656,PO BOX 6191,BIN 627829,MANUAL ENTRY,Amazon.com,7-Nov,336,40200,8-Nov,,American Express,Santander Bank,0
9100140534,Daniella Alonso,100040535,1632 18 RD,BIN 627829999,SWIPED MACHINE READ,Uber,9-Nov,335,38040,10-Nov,,Ally Financial,Regions Bank,0
9100100604,Corinne Alphen,100000605,107 SERNANDINA ST,BIN 461104,MANUAL ENTRY,Draftkings,1-Nov,5,600,4-Nov,,RBC Bank,M&T Bank,0
9100100846,Carol Alt,100000847,PO BOX 109,BIN 453527,SWIPED MACHINE READ,Nightlife,3-Nov,7,840,4-Nov,,Citizens Bank,Northern Trust,0
9100138356,Summer Altice,100038357,PO BOX 2324,BIN 452527,Unknown or terminal not used,Target,11-Nov,317,40200,13-Nov,,USAA,Union Bank,0
9100140655,Angela Alvarado,100040656,PO BOX 1484,BIN 480373,Manual key entry,BJS,13-Nov,336,38040,14-Nov,,Fifth Third Bank,KeyCorp,1
9100102661,Trini Alvarado,100002662,113 RIVERDOWN DR,BIN 586137,Mag stripe read ? CVV checking not possible,Shell,15-Nov,22,600,16-Nov,,BMO Harris Bank,MSN Banknorth,0
9100140534,Monique Alvarez,100040535,27653 HIGHWAY 6 TRLR 1704,BIN 479417,Barcode read,Flowers.com,2-Nov,335,840,5-Nov,,Santander Bank,Bank of New York Mellon,1
9100100604,Betty Amann,100000605,PO BOX 520,BIN 472775,Unknown,Walmart,4-Nov,5,40200,5-Nov,,Regions Bank,PNC Bank,0
9100100846,Erika Amato,100000847,PO BOX 953,BIN 503673,MANUAL ENTRY,Target,6-Nov,7,38040,8-Nov,,M&T Bank,Capital One,0
9100138356,Kimberly Amato,100038357,545 1ST AVE APT 5H,BIN 490210,SWIPED MACHINE READ,BJS,8-Nov,317,40320,9-Nov,,Northern Trust,HSBC,1
9100140655,Lauren Ambrose,100040656,175 COUNTY ROAD 135,BIN 434809,MANUAL ENTRY,Shell,10-Nov,336,600,11-Nov,,Union Bank,TD Bank,0
9100137025,Tangie Ambrose,100037026,135 CEDAR RIDGE WAY,BIN 427569,SWIPED MACHINE READ,BP,12-Nov,306,840,15-Nov,,KeyCorp,State Street,0
9100137025,Cindy Ambuehl,100037026,2702 H RD,BIN 417209,Unknown or terminal not used,Target,14-Nov,306,40200,15-Nov,,MSN Banknorth,BB&T,0
9100137025,Amerie,100037026,34651 HIGHWAY 6,BIN 585160,Manual key entry,BJS,16-Nov,306,38040,18-Nov,,JPMorgan Chase,SunTrust Bank,1
9100137025,Adrienne Ames,100037026,PO BOX 772473,BIN 5851608,Mag stripe read ? CVV checking not possible,MBTA,7-Nov,306,40320,8-Nov,,Bank of America,Charles Schwab,0
9100109558,Ramsay Ames,100009559,664 SO ANNABELLE CT,BIN 58516099,Barcode read,Amazon.com,9-Nov,79,600,10-Nov,,Wells Fargo,American Express,0
9100137025,Rosemary Ames,100037026,2607 GREENCLIFF DR,BIN 567024,Unknown,Uber,11-Nov,306,840,14-Nov,,Citigroup,Ally Financial,0
9100116092,Mädchen Amick,100016093,34911 PRONGHORN DR,BIN 438516,MANUAL ENTRY,Draftkings,2-Nov,317,40200,3-Nov,,Goldman Sachs,RBC Bank,0
9100116092,Suzy Amis Cameron,100016093,PO BOX 4080,BIN 439203,SWIPED MACHINE READ,Nightlife,4-Nov,75,38040,6-Nov,,Morgan Stanley,JPMorgan Chase,0
9100116092,Charlene Amoia,100016093,12110 RCR 69,BIN 439206,MANUAL ENTRY,Target,6-Nov,216,40320,7-Nov,,U.S. Bancorp,Bank of America,0
9100116092,Elizabeth Amsden,100016093,1146 E 2ND AVE APT 7,BIN 477897,SWIPED MACHINE READ,BJS,8-Nov,75,40200,9-Nov,,Bank of New York Mellon,Wells Fargo,1
